subNo	Threshold	Slope	T_SdErr	S_SdErr	Deviance	goodFitPvalue
1	-1.27087682375462	0.493649798382587	0.395671477135521	0.0895080765085315	3.51432705264095	0.5
2	-1.39613949206629	0.28202985513677	0.440682338238967	0.0394171781058303	6.37492864093051	0.275
3	2.07037247561442	0.267851314831931	0.49224758982556	0.0532405418713852	1.13019690279937	0.9
4	-0.965350678636245	0.309739703166439	0.372652749569976	0.0431595929345312	1.8538918326289	0.9
5	-1.92021539412525	0.239360672430985	0.630187825227868	0.046666988817312	2.61001402958226	0.775
6	-0.21638283046486	0.572156974182311	0.244719138988291	0.123576268309161	1.26593451434135	0.95
7	0.804441186097868	0.339695874933348	0.340004168344908	0.0573365594562546	4.08231994287105	0.225
8	0.830121589498184	0.418890249232399	0.400750917057736	0.0706438467052981	1.12204888948827	0.6
9	3.46414127915354	0.170844813402873	0.697264619557564	0.0292647174799074	4.44833561380395	0.5
10	-0.0297982450570693	0.355489180741777	0.319811460555983	0.0472153390797686	8.75785041489672	0.025
11	0.622907681927285	0.252527029726463	0.613228002654172	0.0462945606341563	9.35130898918354	0.025
12	-0.247426712623262	0.15884450025624	0.697198046770918	0.0180122505154445	15.1604523509547	0
13	-0.575014493903567	0.466378125655041	0.355372235795927	0.0758294814481833	4.03968032565371	0.5
14	3.50659645616924	0.259196292373999	0.494589151139688	0.0408916295697756	8.28139708997121	0.125
15	0.512682576848159	0.252928368542138	0.560246203087644	0.0438235699129377	10.2203216211326	0.05
16	0.303589042950231	0.277905789471045	0.467254920674543	0.041253516985689	2.52515280667808	0.7
17	-0.0826509917000699	0.555692784057751	0.216117572770609	0.450883217316129	3.23225181563504	0.35
