subNo	Threshold	Slope	T_SdErr	S_SdErr	Deviance	goodFitPvalue
1	-1.19923576199164	0.367857706191013	0.463191366477834	0.0601664824811087	1.73715930175862	0.825
2	-1.21501920423468	0.223500026058608	0.464360147861435	0.0362260693924683	3.97543284970143	0.575
3	2.01683486885703	0.359834508026357	0.495497106549415	0.0659763809425828	3.03190849678747	0.425
4	-0.757218624197375	0.318156978133891	0.471445128577483	0.0427224647923106	6.48239356599299	0.225
5	-2.71596164797769	0.170468657603336	0.740993689052726	0.0284363582327088	7.31304719437713	0.075
6	-0.122326364839889	0.382229000003242	0.254103001040773	0.0503961474450574	2.43168676289739	0.8
7	0.717938397656948	0.431888380653383	0.4086467754991	0.088456117673454	0.225339654480464	0.925
8	1.37824260037588	0.317737438459066	0.390920040283575	0.0400867683176666	2.4936572602239	0.425
9	3.50053008498029	0.176936874660146	0.637745121120484	0.0255547135978184	5.76234400706093	0.45
10	0.217508659616309	0.264362950637585	0.314411807409381	0.0392763169709355	11.3615639226995	0
11	1.51326012354299	0.401663111912169	0.508869606220514	0.127097989548005	2.59351454846274	0.425
12	0.260562389891414	0.149632394862075	1.02592951136795	0.0261595608444054	0.164233472555139	1
13	0.85709124354799	0.388103984679039	0.312011577733051	0.0591586352495726	6.63029175413911	0.175
14	3.72507133527535	0.390633272993213	0.39393883333695	0.0828306780984943	1.3661499996127	0.55
15	-0.125340045960553	0.261348294196915	0.591845730681374	0.0500426481945087	1.83746079115897	0.85
16	0.51512084072533	0.25657591772594	0.594095183957094	0.0416544952995145	1.86513933870776	0.8
17	0.0181778021562145	0.334965530725699	0.36648847109516	0.0413202344842726	5.44504575929668	0.325
